Result 1d,Result 7d,Real 1d,Real 7d
0.3029988706111908,0.3159540891647339,0.623693881050055,0.6366388886933418
0.3110990524291992,0.32525190711021423,0.5504301033067241,0.5997979253933424
0.3084839880466461,0.32398831844329834,0.06379207118665274,0.08798970627450735
0.30275288224220276,0.31738415360450745,0.2997433915065446,0.2705205776889641
0.3039492666721344,0.3178904950618744,0.3058125313709416,0.2761641762469824
0.28950145840644836,0.3029971420764923,0.058598599198262755,0.055152889433292204
0.2842964231967926,0.2976265549659729,0.16441910889356026,0.22283771267728902
0.2830951511859894,0.294359415769577,0.2464232467942803,0.24824804693242403
0.28336915373802185,0.2942373752593994,0.2792432389107388,0.3028223928221706
0.29767313599586487,0.3082745671272278,0.6005054533810114,0.6188455383061485
0.30616649985313416,0.3174242377281189,0.29837667785794597,0.3150501487991234
0.30754074454307556,0.3196920156478882,0.020945586033460098,0.024697637687481608
0.3165235221385956,0.3270091116428375,0.616899759654896,0.6679158833085557
0.32363924384117126,0.33542320132255554,0.2751693549647455,0.26763718488705374
0.32406195998191833,0.3367328941822052,0.011023139425849898,0.018607585779141428
0.31988251209259033,0.3318186104297638,0.23954526250489233,0.2594987419108848
0.3169654309749603,0.3296336829662323,0.09440277909484547,0.0999720237188436
0.3092217743396759,0.32271015644073486,0.04248750656827592,0.06404120594412464
0.2894221842288971,0.30313926935195923,0.2776031886672335,0.30899656068577763
0.2786654829978943,0.29192373156547546,0.2841881129377977,0.2964250097861771
0.27546656131744385,0.28927263617515564,0.06154633085190882,0.05390793648646468
0.2651560604572296,0.2781319320201874,0.6679158833085557,0.6290246654912672
0.2621152698993683,0.27674591541290283,0.05205888849978836,0.06508593393042549
0.2706395387649536,0.28534796833992004,0.29660988237707625,0.30795431729875716
0.27784478664398193,0.29349786043167114,0.3061185358452755,0.29424448251402674
0.27657321095466614,0.2933032214641571,0.25964343147638524,0.2860845983662901
0.26939183473587036,0.28730735182762146,0.05316096165096161,0.03671146506528415
0.2624962031841278,0.2796517312526703,0.12777484303659076,0.14217053458193346
0.2743476927280426,0.2909577488899231,0.9165341508707885,0.9275503732949382
0.2901586890220642,0.30574434995651245,0.8817814779289136,0.9630112490539162
0.30400165915489197,0.32050126791000366,0.5854700081950367,0.5741893753289506
0.3146192729473114,0.3318723738193512,0.934224436398944,0.8580759468688997
0.3104460537433624,0.32883352041244507,0.09693423300980018,0.09908802783413755
0.3107992708683014,0.3284984529018402,0.01823800930470161,0.027115988655565082
0.3086114227771759,0.32371753454208374,0.28823208967023095,0.2787706742624241
0.3061811625957489,0.31975722312927246,0.25955499814644295,0.29837667785794597
0.3198787271976471,0.331552654504776,0.6363493868660801,0.5960751981456425
0.3193370997905731,0.33131811022758484,0.10453764360389532,0.1283535706245275
0.3125282824039459,0.32381537556648254,0.045420806074250156,0.05071680612553721
0.3274862468242645,0.3380858898162842,0.9630112490539162,0.9261834142538179
0.3357824981212616,0.3471502363681793,0.9092972800186794,0.9946125298863171
0.333788126707077,0.345975786447525,0.01998145415344557,0.013674490593115415
0.34059494733810425,0.35267582535743713,0.2842195231805521,0.307581688754831
0.3419722616672516,0.35281240940093994,0.744379763576882,0.8344398005443452
0.34536847472190857,0.3529130816459656,0.22946085683307976,0.2214553245813784
0.36068063974380493,0.3667607009410858,0.5725089273415903,0.5774778805098233
0.35743042826652527,0.36380502581596375,0.13045948323310352,0.12250206325265244
0.353883296251297,0.36088427901268005,0.024839528244533518,0.03838892999980477
0.3524364233016968,0.36002928018569946,0.12487322983995762,0.12715594776028788
0.3496263921260834,0.35715407133102417,0.2376399429456253,0.2842195231805521
0.35786744952201843,0.3645881116390228,0.6126464324275421,0.5504301033067241
0.3805253803730011,0.3866850733757019,0.7982581456015363,0.8817814779289136
0.3736899793148041,0.38396647572517395,0.2872020852352212,0.2425197879544817
0.38202181458473206,0.39204317331314087,0.29853142851682873,0.30239068602868874
0.38813844323158264,0.3992796242237091,0.6152193116675357,0.6506371210389872
0.38784924149513245,0.39949116110801697,0.2705205776889641,0.2493692760373083
0.3831052780151367,0.39476296305656433,0.08824687763705898,0.0866154928169698
0.3818614184856415,0.3919801414012909,0.07936665907943664,0.08489567466693833
0.3756811320781708,0.38378503918647766,0.03906398948947022,0.027154024496400475
0.35854947566986084,0.366095632314682,0.28854563996460153,0.306544046477589
0.33648642897605896,0.3458930552005768,0.13944569602298934,0.15236243751520379
0.3196863830089569,0.33034548163414,0.06413261465839039,0.06006845439106222
0.3109845221042633,0.32137054204940796,0.654022126828947,0.6005054533810114
0.31557315587997437,0.3283238708972931,0.05390793648646468,0.05316096165096161
0.31893184781074524,0.3329618573188782,0.12863489781341614,0.14032183934700682
0.3112843632698059,0.32537609338760376,0.03827643286572101,0.05183386355755569
0.3092476725578308,0.322101354598999,0.21936528580153808,0.25298277293886734
0.29100102186203003,0.30273669958114624,0.02259738444393311,0.029211349385715804
0.3115478456020355,0.3230283260345459,0.970248242602286,0.9236906556721003
